Year,Region,Value
2016,Ingolstadt,128101
2016,Bayern,44829
2017,Ingolstadt,127492
2017,Bayern,46726
2018,Ingolstadt,127385	
2018,Bayern,47578
2019,Ingolstadt,137483
2019,Bayern,49156
2020,Ingolstadt,124982
2020,Bayern,48013
2021,Ingolstadt,130509
2021,Bayern,50643
2022,Ingolstadt,140365
2022,Bayern,54007
