Year,Flächenart,Value
2019,Siedlungs- und Verkehrsfläche,360.5
2019,Vegetation,570.8
2020,Siedlungs- und Verkehrsfläche,358.2
2020,Vegetation,576.1
2021,Siedlungs- und Verkehrsfläche,356.5
2021,Vegetation,570.6
2022,Siedlungs- und Verkehrsfläche,349.9
2022,Vegetation,557.4
2023,Siedlungs- und Verkehrsfläche,347.87
2023,Vegetation,551.11
