Year,Einrichtung,Value
2019,KU-Eichstätt-Ingolstadt,10000000
2019,TH Ingolstadt,17000000
2019,Gesamt,27000000
2020,KU-Eichstätt-Ingolstadt,9500000
2020,TH Ingolstadt,17500000
2020,Gesamt,27000000
2021,KU-Eichstätt-Ingolstadt,11600000
2021,TH Ingolstadt,20000000
2021,Gesamt,31600000
2022,KU-Eichstätt-Ingolstadt,12600000
2022,TH Ingolstadt,23000000
2022,Gesamt,35600000
2023,KU-Eichstätt-Ingolstadt,13300000
2023,TH Ingolstadt,
2023,Gesamt,
