Year,Einrichtung,Value
2019,Integrationsbeauftragte,16
2019,VHS,5
2019,Stadtbücherei,92
2019,gesamt,113
2020,Integrationsbeauftragte,17
2020,VHS,5
2020,Stadtbücherei,15
2020,gesamt,37
2021,Integrationsbeauftragte,16
2021,VHS,5
2021,Stadtbücherei,5
2021,gesamt,26
2022,Integrationsbeauftragte,16
2022,VHS,5
2022,Stadtbücherei,24
2022,gesamt,45
2023,Integrationsbeauftragte,18
2023,VHS,5
2023,Stadtbücherei,60
2023,gesamt,83
