Year,Region,Value
2014,Bayern,3.55
2014,Ingolstadt,3.45
2015,Bayern,3.82
2015,Ingolstadt,3.47
2016,Bayern,4.27
2016,Ingolstadt,3.18
2017,Bayern,4.59
2017,Ingolstadt,3.049
2018,Bayern,4.55
2018,Ingolstadt,3.76
2019,Bayern,4.36
2019,Ingolstadt,2.45
2020,Bayern,3.8
2020,Ingolstadt,3.93
2021,Bayern,3.88
2021,Ingolstadt,2.71
2022,Bayern,3.93
2022,Ingolstadt,2.99
