Year,Herkunft,Value
2019,Gesamt,5157
2019,Deutsch,4603
2019,Nicht-Deutsch,554
2020,Gesamt,4953
2020,Deutsch,4397
2020,Nicht-Deutsch,556
2021,Gesamt,4727
2021,Deutsch,4166
2021,Nicht-Deutsch,561
2022,Gesamt,4591
2022,Deutsch,4041
2022,Nicht-Deutsch,550
2023,Gesamt,4584
2023,Deutsch,3993
2023,Nicht-Deutsch,591
