Year,Region,Value
2019,Ingolstadt,736
2019,Bayern,619
2020,Ingolstadt,709
2020,Bayern,622
2021,Ingolstadt,708
2021,Bayern,626
2022,Ingolstadt,715
2022,Bayern,630
2023,Ingolstadt,734
2023,Bayern,626
